RSTRNT_ID,RSTRNT_CTGRY_NM,RSTRNT_NM,RSTRNT_ROAD_NM_ADDR,RSTRNT_LNM_ADDR,RSTRNT_TEL_NO,RESVE_POSBL_AT,SLE_VGTR_MENU_INFO_DC,RSTRNT_LA,RSTRNT_LO
629599,퓨전음식,단지,울산광역시 중구 함월3길 16,울산광역시 중구 성안동 863-13,522442234,N,"고추장콩불고기쌈밥정식,구운야채샐러드,들깨 버섯 두유 크림 파스타,버섯만두전골,버섯스테이크,세트메뉴,어린잎 채소 피자,찹쌀버섯탕수,채소현미필라프,콩까스 플레이트,콩불고기토마토파스타,",35.5745369,129.3056436
631762,베이커리,배드매드브레드,서울특별시 양천구 등촌로 80 삼성빌딩 3층 301호,서울특별시 양천구 목동 730-6,1026171980,N,"생크림 카스텔라,수제 호두파이,호밀빵",37.5371636,126.8638856
634228,한식뷔페,상동한식부페,경기도 부천시 상동로117번길 57,경기도 부천시 상동 533-2 동양프라자텔 2층,323252249,N,"맥주,사이다,소주,커피,콜라",37.5077727,126.7503225
643001,인도음식,타지마할인코리아,대구광역시 수성구 달구벌대로 3224,대구광역시 수성구 신매동 567-21,537951686,Y,"고스트 팔락,사모사 Samosa,아소티드 케밥,알루 고비",35.8390137,128.7089469
659658,한식,베지나랑,부산광역시 수영구 광안해변로370번길 9-32 노블스카이 9층,부산광역시 수영구 민락동 110-54,7041775555,N,"꽃빵 & 고추잡채 / Stir - fried Korean Chili Peppers and Floral Bread,나랑 버섯 콩나물찜,나랑샐러드/Narang’s Salad,두부자몽샐",35.156747,129.134285
686702,샐러드뷔페,카르파쵸 롯데백화점센텀시티점,부산광역시 해운대구 센텀남대로 59 지하 1층,부산광역시 해운대구 우동 1496 지하 1층,15770001,N,"레몬주스,바나나주스,오렌지주스,토마토주스,파인주스",35.1698533,129.1310696
691190,베이커리,알프리베 베이커리카페,서울특별시 관악구 남부순환로188길 9 차일드빌딩 1층,서울특별시 관악구 신림동 10-11,28881317,N,"머핀,브라우니, 초코칩쿠키,샤브레쿠키,스콘,아메리카노,케이크1피스",37.4841551,126.9335742
699014,한정식,산드레,경상북도 경주시 보불로 299-5,경상북도 경주시 하동 309-3,547465400,N,시래기밥 추가 1인,35.8096348,129.3062794
709131,사찰음식,일상,서울특별시 서초구 마방로6길 7-27 1층,서울특별시 서초구 양재동 263-15 1층,7041301313,N,"고급장아찌와 반찬,연잎밥상,포장연잎밥",37.476295,127.0427131
736310,베이커리,하늘빵별파이,경기도 고양시 일산서구 대화1로 19 대화마을1단지,경기도 고양시 일산서구 대화동 1499 대화마을 1단지 단지상가 105-1호,319198279,N,아메리카노,37.670336,126.7295392
736398,한식뷔페,미쁨채식뷔페,전라북도 완주군 소양면 전진로 907,전라북도 완주군 소양면 해월리 736-1,632453789,N,"미취학,성인,초등학생",35.8526108,127.258347
763313,한식뷔페,열명의농부,충청북도 충주시 신니면 장고개2길 62-46,충청북도 충주시 신니면 용원리 120,438486262,N,"미취학아동,저녁(디너),점심(런치),초등학생,토,일,공휴일",36.9869995,127.7377459
764874,베이커리,이상미통밀빵,서울특별시 서대문구 간호대로2길 5,서울특별시 서대문구 홍제동 285-34,1030440771,N,"감동빵,까망빵 린다치즈,까망빵(국내산 유기농 흑밀),내몸에 좋은 시나몬 잼,린다치즈빵,밀과보리빵,상미빵(기본빵),시와빵,엄마빵,웃음빵 린다치즈,웃음빵(시나몬빵),촘촘빵,행복만빵",37.5968872,126.9489406
821974,한식뷔페,베지그린,서울특별시 강남구 개포로20길 24-10,서울특별시 강남구 개포4동 1234-8 광민빌딩 1층,25776316,N,1인 기준,37.4769879,127.0473759
75730,양식,어라운드 그린,서울특별시 마포구 망원로 79 3층,서울특별시 마포구 망원동 423-15,260809797,N,"가지덮밥정식,구황작물피자,두부데리야끼정식,두유크림파스타,레몬에이드,로제파스타/리조또,바베큐버섯피자,바질페스토야채피자,버섯크림리조또,보리커피,세가지버섯피자,유기농 디카페안 소이라떼,",37.5576343,126.9055895
126051,베이커리,옥토가,부산광역시 수영구 수영로611번길 39-4 1층,부산광역시 수영구 광안동 557-3,1044432503,N,"100%현미두부쇼콜라,레드민트,레몬안녕, 얼그레이,무농약 돌복숭&매실청,발아현미떡케익,엘더플라워 레모네이드 코디얼,우리밀&통밀 스콘,커피,현미소복소복",35.1604721,129.1114443
